City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lebu,-37.6167,-73.65,15.28,81,49,6.59,CL,1738817881
83,medina,24.4686,39.6142,20.24,56,20,4.12,SA,1738817882
84,vorgashor,67.5833,63.95,-14.1,97,100,4.06,RU,1738817884
85,slaton,33.4373,-101.6435,15.93,17,0,4.19,US,1738817885
86,vernon,50.2581,-119.2691,-10.69,61,60,1.34,CA,1738817671
87,albany,42.6001,-73.9662,-10.11,76,100,0.77,US,1738817750
88,igrim,63.1906,64.4162,-11.51,96,100,2.14,RU,1738817889
89,codrington,-38.2667,141.9667,23.79,57,0,6.42,AU,1738817890
90,guayaramerin,-10.8368,-65.3614,22.0,96,100,1.14,BO,1738817891
91,talara,-4.5772,-81.2719,22.43,86,50,3.78,PE,1738817893
92,atafu village,-8.5421,-172.5159,28.84,70,11,7.58,TK,1738817894
93,carnarvon,-24.8667,113.6333,30.92,57,3,6.47,AU,1738817895
94,stanley,54.868,-1.6985,-0.99,100,0,1.54,GB,1738817896
95,sangmelima,2.9333,11.9833,21.18,91,99,1.65,CM,1738817897
96,tazacorte,28.629,-17.9293,16.54,73,40,5.14,ES,1738817898
97,ust-nera,64.5667,143.2,-34.77,98,55,1.53,RU,1738817900
98,idri,27.5,13.2667,10.79,51,14,4.78,LY,1738817901
99,lompoc,34.6391,-120.4579,14.27,84,100,4.02,US,1738817902
100,ha tinh,18.3333,105.9,21.21,75,99,1.28,VN,1738817903
101,turbat,26.0023,63.044,21.03,11,2,2.27,PK,1738817904
102,thompson,55.7435,-97.8558,-16.91,78,100,3.6,CA,1738817905
103,port alfred,-33.5906,26.891,17.88,99,100,1.34,ZA,1738817906
104,saldanha,-33.0117,17.9442,16.83,69,9,7.82,ZA,1738817908
105,warrenton,-28.114,24.8475,22.31,58,49,2.1,ZA,1738817909
106,vadso,70.0744,29.7487,-1.91,80,0,8.23,NO,1738817910
107,sao vicente,-23.9631,-46.3919,25.41,82,100,1.36,BR,1738817911
108,hasaki,35.7333,140.8333,6.69,24,1,4.97,JP,1738817912
109,bubaque,11.2833,-15.8333,24.32,51,10,4.97,GW,1738817913
110,chinde,26.8212,87.7095,23.2,41,0,2.87,NP,1738817914
111,machico,32.7,-16.7667,16.35,72,40,4.12,PT,1738817915
112,constantia,44.1833,28.65,-3.5,66,6,5.9,RO,1738817917
113,napili-honokowai,20.9708,-156.6705,21.33,97,19,2.8,US,1738817918
114,mahibadhoo,3.7833,72.9667,27.47,70,71,5.25,MV,1738817919
115,isangel,-19.55,169.2667,25.75,84,100,6.27,VU,1738817920
116,pemangkat,1.1667,108.9667,27.13,81,97,6.31,ID,1738817921
117,sandnessjoen,66.0217,12.6316,5.23,87,75,11.32,NO,1738817922
118,flying fish cove,-10.4217,105.6791,27.82,83,100,6.17,CX,1738817923
119,kourou,5.1552,-52.6478,23.74,95,100,2.52,GF,1738817925
120,pont rouge,48.8833,-72.0825,-20.09,94,58,1.98,CA,1738817926
121,njombe,-9.3333,34.7667,16.41,92,100,1.34,TZ,1738817927
122,yuzhno-kurilsk,44.0306,145.8556,0.34,66,75,3.66,RU,1738817928
123,at taj,24.2049,23.2857,9.46,57,76,4.45,LY,1738817929
124,fale old settlement,-9.3852,-171.2468,28.33,74,33,5.66,TK,1738817930
125,coro,11.4045,-69.6734,23.42,89,79,4.92,VE,1738817931
126,thunder bay,48.4001,-89.3168,-10.01,73,100,0.51,CA,1738817932
127,wailua homesteads,22.0669,-159.378,20.44,90,100,3.09,US,1738817934
128,marshfield,44.6689,-90.1718,-6.03,79,100,5.14,US,1738817935
129,sodra sandby,56.5667,16.6167,-1.17,95,88,2.8,SE,1738817936
130,sur,22.5667,59.5289,21.29,48,17,2.47,OM,1738817937
131,east london,-33.0153,27.9116,20.88,89,100,6.38,ZA,1738817938
132,nova sintra,14.8667,-24.7167,22.47,66,19,9.04,CV,1738817939
133,fairbanks,64.8378,-147.7164,-9.0,82,100,1.54,US,1738817940
134,nieuw amsterdam,5.8833,-55.0833,24.23,93,100,3.4,SR,1738817942
135,tura,25.5198,90.2201,25.76,34,0,2.53,IN,1738817943
136,soio,-6.1349,12.3689,25.98,88,93,2.97,AO,1738817944
137,hawaiian paradise park,19.5933,-154.9731,21.73,92,100,4.63,US,1738817945
138,dudinka,69.4058,86.1778,-20.29,99,92,3.21,RU,1738817946
139,ouani,-12.1322,44.4258,27.63,78,75,7.03,KM,1738817948
140,vilyuchinsk,52.9306,158.4028,-0.85,78,100,1.61,RU,1738817950
141,baruun-urt,46.6806,113.2792,-21.26,65,89,8.04,MN,1738817951
142,selfoss,63.9331,-20.9971,3.91,99,100,6.88,IS,1738817952
143,bulgan,48.8125,103.5347,-20.49,70,67,1.13,MN,1738817953
144,atasu,48.6814,71.6433,-13.59,85,5,5.46,KZ,1738817954
145,port lincoln,-34.7333,135.8667,23.74,57,1,6.76,AU,1738817957
146,ketchikan,55.3422,-131.6461,-0.37,74,0,0.0,US,1738817959
147,cabo san lucas,22.8909,-109.9124,16.94,71,0,3.26,MX,1738817857
148,longyearbyen,78.2186,15.6401,-1.09,86,75,2.06,SJ,1738817907
149,papatowai,-46.5619,169.4708,14.2,57,93,3.75,NZ,1738817962
150,stephenville,32.2207,-98.2023,20.07,80,0,3.6,US,1738817963
151,isla vista,34.4133,-119.861,15.43,96,100,4.12,US,1738817965
152,luderitz,-26.6481,15.1594,17.78,69,70,10.43,NA,1738817966
153,ascencion de guarayos,-15.8963,-63.1881,22.44,97,67,1.64,BO,1738817967
154,rawson,-43.3002,-65.1023,23.16,31,0,5.14,AR,1738817968
155,turpan,42.9333,89.1667,2.55,34,1,1.25,CN,1738817969
156,portland,45.5234,-122.6762,3.12,93,75,3.58,US,1738817754
157,bagua grande,-5.7561,-78.4411,22.67,90,54,1.44,PE,1738817972
158,kerikeri,-35.2268,173.9474,21.66,56,41,3.09,NZ,1738817973
159,badger,64.8,-147.5333,-8.86,87,100,1.54,US,1738817974
160,hadibu,12.65,54.0333,23.3,65,10,4.24,YE,1738817975
161,masuguru,-11.3667,38.4167,23.62,97,100,1.72,TZ,1738817976
162,ilhabela,-23.7781,-45.3581,25.21,86,100,1.6,BR,1738817977
163,miyaly,48.8844,53.7836,-8.31,82,82,6.17,KZ,1738817978
164,opuwo,-18.0607,13.84,20.15,86,100,0.82,NA,1738817980
165,west mackay,-21.1481,149.1605,23.59,93,100,6.65,AU,1738817981
166,taldykorgan,45.0156,78.3739,-5.69,65,36,0.51,KZ,1738817982
167,peskovka,59.0448,52.3606,-15.01,97,100,1.21,RU,1738817983
168,puerto ayora,-0.7393,-90.3518,24.75,98,8,0.45,EC,1738817984
169,lihue,21.9789,-159.3672,20.77,94,100,3.09,US,1738817985
170,aasiaat,68.7098,-52.8699,-32.44,99,87,1.82,GL,1738817986
171,saint johnsbury,44.4192,-72.0151,-19.84,81,0,0.0,US,1738817988
172,nova vicosa,-17.8919,-39.3719,24.66,87,100,1.75,BR,1738817989
173,colonia,50.9333,6.95,3.36,92,100,1.03,DE,1738817990
